Period,date,year,month,text,period,text_clean,total_words
Post - Covid 19,2023-12-13,2023,December,"Recent indicators suggest that growth of economic activity has slowed from its strong pace in the third quarter. Job gains have moderated since earlier in the year but remain strong, and the unemployment rate has remained low. Inflation has eased over the past year but remains elevated.

The U.S. banking system is sound and resilient. Tighter financial and credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation. The extent of these effects remains uncertain. The Committee remains highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. The Committee will continue to assess additional information and its implications for monetary policy. In determining the extent of any additional policy firming that may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"recent indicators suggest that growth of economic activity has slowed from its strong pace in the third quarter. job gains have moderated since earlier in the year but remain strong, and the unemployment rate has remained low. inflation has eased over the past year but remains elevated. the u.s. banking system is sound and resilient. tighter financial and credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation. the extent of these effects remains uncertain. the committee remains highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. the committee will continue to assess additional information and its implications for monetary policy. in determining the extent of any additional policy firming that may be appropriate to return inflation to 2 percent over time, the committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",310
Post - Covid 19,2023-09-20,2023,September,"Recent indicators suggest that economic activity has been expanding at a solid pace. Job gains have slowed in recent months but remain strong, and the unemployment rate has remained low. Inflation remains elevated.

The U.S. banking system is sound and resilient. Tighter credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation. The extent of these effects remains uncertain. The Committee remains highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. The Committee will continue to assess additional information and its implications for monetary policy. In determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"recent indicators suggest that economic activity has been expanding at a solid pace. job gains have slowed in recent months but remain strong, and the unemployment rate has remained low. inflation remains elevated. the u.s. banking system is sound and resilient. tighter credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation. the extent of these effects remains uncertain. the committee remains highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. the committee will continue to assess additional information and its implications for monetary policy. in determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",293
Post - Covid 19,2023-06-14,2023,June,"Recent indicators suggest that economic activity has continued to expand at a modest pace. Job gains have been robust in recent months, and the unemployment rate has remained low. Inflation remains elevated.

The U.S. banking system is sound and resilient. Tighter credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation. The extent of these effects remains uncertain. The Committee remains highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to maintain the target range for the federal funds rate at 5 to 5-1/4 percent. Holding the target range steady at this meeting allows the Committee to assess additional information and its implications for monetary policy. In determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"recent indicators suggest that economic activity has continued to expand at a modest pace. job gains have been robust in recent months, and the unemployment rate has remained low. inflation remains elevated. the u.s. banking system is sound and resilient. tighter credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation. the extent of these effects remains uncertain. the committee remains highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to maintain the target range for the federal funds rate at 5 to 5-1/4 percent. holding the target range steady at this meeting allows the committee to assess additional information and its implications for monetary policy. in determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",299
Post - Covid 19,2023-03-22,2023,March,"Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated.

The U.S. banking system is sound and resilient. Recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. The extent of these effects is uncertain. The Committee remains highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent. The Committee will closely monitor incoming information and assess the implications for monetary policy. The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In determining the extent of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"recent indicators point to modest growth in spending and production. job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. inflation remains elevated. the u.s. banking system is sound and resilient. recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. the extent of these effects is uncertain. the committee remains highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent. the committee will closely monitor incoming information and assess the implications for monetary policy. the committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. in determining the extent of future increases in the target range, the committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",323
Post - Covid 19,2022-12-14,2022,December,"Recent indicators point to modest growth in spending and production. Job gains have been robust in recent months, and the unemployment rate has remained low. Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.

Russia's war against Ukraine is causing tremendous human and economic hardship. The war and related events are contributing to upward pressure on inflation and are weighing on global economic activity. The Committee is highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-1/4 to 4-1/2 percent. The Committee anticipates that ongoing increases in the target range will be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In determining the pace of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in the Plans for Reducing the Size of the Federal Reserve's Balance Sheet that were issued in May. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.
",Post-COVID,"recent indicators point to modest growth in spending and production. job gains have been robust in recent months, and the unemployment rate has remained low. inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures. russia's war against ukraine is causing tremendous human and economic hardship. the war and related events are contributing to upward pressure on inflation and are weighing on global economic activity. the committee is highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to raise the target range for the federal funds rate to 4-1/4 to 4-1/2 percent. the committee anticipates that ongoing increases in the target range will be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. in determining the pace of future increases in the target range, the committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in the plans for reducing the size of the federal reserve's balance sheet that were issued in may. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",330
Post - Covid 19,2022-09-21,2022,September,"Recent indicators point to modest growth in spending and production. Job gains have been robust in recent months, and the unemployment rate has remained low. Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.

Russia's war against Ukraine is causing tremendous human and economic hardship. The war and related events are creating additional upward pressure on inflation and are weighing on global economic activity. The Committee is highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 3 to 3-1/4 percent and anticipates that ongoing increases in the target range will be appropriate. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in the Plans for Reducing the Size of the Federal Reserve's Balance Sheet that were issued in May. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"recent indicators point to modest growth in spending and production. job gains have been robust in recent months, and the unemployment rate has remained low. inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures. russia's war against ukraine is causing tremendous human and economic hardship. the war and related events are creating additional upward pressure on inflation and are weighing on global economic activity. the committee is highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to raise the target range for the federal funds rate to 3 to 3-1/4 percent and anticipates that ongoing increases in the target range will be appropriate. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in the plans for reducing the size of the federal reserve's balance sheet that were issued in may. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",269
Post - Covid 19,2022-06-15,2022,June,"Overall economic activity appears to have picked up after edging down in the first quarter. Job gains have been robust in recent months, and the unemployment rate has remained low. Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher energy prices, and broader price pressures.

The invasion of Ukraine by Russia is causing tremendous human and economic hardship. The invasion and related events are creating additional upward pressure on inflation and are weighing on global economic activity. In addition, COVID-related lockdowns in China are likely to exacerbate supply chain disruptions. The Committee is highly attentive to inflation risks.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 1‑1/2 to 1-3/4 percent and anticipates that ongoing increases in the target range will be appropriate. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in the Plans for Reducing the Size of the Federal Reserve's Balance Sheet that were issued in May. The Committee is strongly committed to returning inflation to its 2 percent objective.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.
",Post-COVID,"overall economic activity appears to have picked up after edging down in the first quarter. job gains have been robust in recent months, and the unemployment rate has remained low. inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher energy prices, and broader price pressures. the invasion of ukraine by russia is causing tremendous human and economic hardship. the invasion and related events are creating additional upward pressure on inflation and are weighing on global economic activity. in addition, covid-related lockdowns in china are likely to exacerbate supply chain disruptions. the committee is highly attentive to inflation risks. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to raise the target range for the federal funds rate to 1‑1/2 to 1-3/4 percent and anticipates that ongoing increases in the target range will be appropriate. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in the plans for reducing the size of the federal reserve's balance sheet that were issued in may. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",287
Post - Covid 19,2022-03-16,2022,March,"Indicators of economic activity and employment have continued to strengthen. Job gains have been strong in recent months, and the unemployment rate has declined substantially. Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher energy prices, and broader price pressures.

The invasion of Ukraine by Russia is causing tremendous human and economic hardship. The implications for the U.S. economy are highly uncertain, but in the near term the invasion and related events are likely to create additional upward pressure on inflation and weigh on economic activity.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. With appropriate firming in the stance of monetary policy, the Committee expects inflation to return to its 2 percent objective and the labor market to remain strong. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 1/4 to 1/2 percent and anticipates that ongoing increases in the target range will be appropriate. In addition, the Committee expects to begin reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities at a coming meeting.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"indicators of economic activity and employment have continued to strengthen. job gains have been strong in recent months, and the unemployment rate has declined substantially. inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher energy prices, and broader price pressures. the invasion of ukraine by russia is causing tremendous human and economic hardship. the implications for the u.s. economy are highly uncertain, but in the near term the invasion and related events are likely to create additional upward pressure on inflation and weigh on economic activity. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. with appropriate firming in the stance of monetary policy, the committee expects inflation to return to its 2 percent objective and the labor market to remain strong. in support of these goals, the committee decided to raise the target range for the federal funds rate to 1/4 to 1/2 percent and anticipates that ongoing increases in the target range will be appropriate. in addition, the committee expects to begin reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities at a coming meeting. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",274
Post - Covid 19,2021-12-15,2021,December,"The Federal Reserve is committed to using its full range of tools to support the U.S. economy in this challenging time, thereby promoting its maximum employment and price stability goals.

With progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen. The sectors most adversely affected by the pandemic have improved in recent months but continue to be affected by COVID-19. Job gains have been solid in recent months, and the unemployment rate has declined substantially. Supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation. Overall financial conditions remain accommodative, in part reflecting policy measures to support the economy and the flow of credit to U.S. households and businesses.

The path of the economy continues to depend on the course of the virus. Progress on vaccinations and an easing of supply constraints are expected to support continued gains in economic activity and employment as well as a reduction in inflation. Risks to the economic outlook remain, including from new variants of the virus.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent. With inflation having exceeded 2 percent for some time, the Committee expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment. In light of inflation developments and the further improvement in the labor market, the Committee decided to reduce the monthly pace of its net asset purchases by $20 billion for Treasury securities and $10 billion for agency mortgage-backed securities. Beginning in January, the Committee will increase its holdings of Treasury securities by at least $40 billion per month and of agency mortgage‑backed securities by at least $20 billion per month. The Committee judges that similar reductions in the pace of net asset purchases will likely be appropriate each month, but it is prepared to adjust the pace of purchases if warranted by changes in the economic outlook. The Federal Reserve's ongoing purchases and holdings of securities will continue to foster smooth market functioning and accommodative financial conditions, thereby supporting the flow of credit to households and businesses.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.
",Post-COVID,"the federal reserve is committed to using its full range of tools to support the u.s. economy in this challenging time, thereby promoting its maximum employment and price stability goals. with progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen. the sectors most adversely affected by the pandemic have improved in recent months but continue to be affected by covid-19. job gains have been solid in recent months, and the unemployment rate has declined substantially. supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation. overall financial conditions remain accommodative, in part reflecting policy measures to support the economy and the flow of credit to u.s. households and businesses. the path of the economy continues to depend on the course of the virus. progress on vaccinations and an easing of supply constraints are expected to support continued gains in economic activity and employment as well as a reduction in inflation. risks to the economic outlook remain, including from new variants of the virus. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. in support of these goals, the committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent. with inflation having exceeded 2 percent for some time, the committee expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the committee's assessments of maximum employment. in light of inflation developments and the further improvement in the labor market, the committee decided to reduce the monthly pace of its net asset purchases by $20 billion for treasury securities and $10 billion for agency mortgage-backed securities. beginning in january, the committee will increase its holdings of treasury securities by at least $40 billion per month and of agency mortgage‑backed securities by at least $20 billion per month. the committee judges that similar reductions in the pace of net asset purchases will likely be appropriate each month, but it is prepared to adjust the pace of purchases if warranted by changes in the economic outlook. the federal reserve's ongoing purchases and holdings of securities will continue to foster smooth market functioning and accommodative financial conditions, thereby supporting the flow of credit to households and businesses. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",478
Post - Covid 19,2021-09-22,2021,September,"The Federal Reserve is committed to using its full range of tools to support the U.S. economy in this challenging time, thereby promoting its maximum employment and price stability goals.

With progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen. The sectors most adversely affected by the pandemic have improved in recent months, but the rise in COVID-19 cases has slowed their recovery. Inflation is elevated, largely reflecting transitory factors. Overall financial conditions remain accommodative, in part reflecting policy measures to support the economy and the flow of credit to U.S. households and businesses.

The path of the economy continues to depend on the course of the virus. Progress on vaccinations will likely continue to reduce the effects of the public health crisis on the economy, but risks to the economic outlook remain.

The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. With inflation having run persistently below this longer-run goal, the Committee will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer‑term inflation expectations remain well anchored at 2 percent. The Committee expects to maintain an accommodative stance of monetary policy until these outcomes are achieved. The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. Last December, the Committee indicated that it would continue to increase its holdings of Treasury securities by at least $80 billion per month and of agency mortgage‑backed securities by at least $40 billion per month until substantial further progress has been made toward its maximum employment and price stability goals. Since then, the economy has made progress toward these goals. If progress continues broadly as expected, the Committee judges that a moderation in the pace of asset purchases may soon be warranted. These asset purchases help foster smooth market functioning and accommodative financial conditions, thereby supporting the flow of credit to households and businesses.

In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",Post-COVID,"the federal reserve is committed to using its full range of tools to support the u.s. economy in this challenging time, thereby promoting its maximum employment and price stability goals. with progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen. the sectors most adversely affected by the pandemic have improved in recent months, but the rise in covid-19 cases has slowed their recovery. inflation is elevated, largely reflecting transitory factors. overall financial conditions remain accommodative, in part reflecting policy measures to support the economy and the flow of credit to u.s. households and businesses. the path of the economy continues to depend on the course of the virus. progress on vaccinations will likely continue to reduce the effects of the public health crisis on the economy, but risks to the economic outlook remain. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. with inflation having run persistently below this longer-run goal, the committee will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer‑term inflation expectations remain well anchored at 2 percent. the committee expects to maintain an accommodative stance of monetary policy until these outcomes are achieved. the committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. last december, the committee indicated that it would continue to increase its holdings of treasury securities by at least $80 billion per month and of agency mortgage‑backed securities by at least $40 billion per month until substantial further progress has been made toward its maximum employment and price stability goals. since then, the economy has made progress toward these goals. if progress continues broadly as expected, the committee judges that a moderation in the pace of asset purchases may soon be warranted. these asset purchases help foster smooth market functioning and accommodative financial conditions, thereby supporting the flow of credit to households and businesses. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",463
