"","track_id","title","artist","popularity","genre","danceability","valence","album_id","album_name","album_release_date","playlist_name","playlist_id","subgenre","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","tempo","duration_ms","valence.c"
"1","7sYAS4CpbV90oSemgaEQat","On & On","Alok",79,"pop",74.7,67,"2a9AGivapFES2j2ElI3odn","On & On","2019-11-22","Dance Room","37i9dQZF1DX2ENAPP1Tyed","dance pop",77.6,10,-5.898,0,7.22,2.33,0.00138,76.1,125.07,147027,18.8040571428571
"2","1YSwQvw1NrEPfA0j1iY8eV","All The Lies","Alok",56,"pop",70.7,63.4,"2FdyKqNeEX2H7gUhtlmJDC","All The Lies (Remixes)","2019-07-19","Cardio","37i9dQZF1DWSJHnPb1f0X3","dance pop",80.6,6,-4.777,1,17.5,0.908,0,36.6,119.972,163000,15.2040571428571
"3","39cmB3ZoTOLwOTq7tMNqKa","Hear Me Now","Alok",75,"pop",77.8,49.6,"6fpsA5aYbVNLe6y3P49o2o","Hear Me Now","2016","ElectroPop 2020","4frhr6RQM2fMOm2mpvOVo6","electropop",46.3,11,-7.603,1,3.89,54.6,0.289,7.31,121.999,194840,1.40405714285714
"4","2Dnb6yPGUq0vmGtxzm3bwi","The Wall","Alok",65,"pop",68.2,53.6,"0hH9tb1b4Z87g7SHmnriKa","The Wall","2019-06-28","Electropop","2Z5cPJ6Z4EVZAfF08amjvL","electropop",91,11,-2.314,1,4.31,0.953,6.73,7.32,122.943,159500,5.40405714285714
"5","1a5Yu5L18qNxVhXx38njON","Hear Me Now","Alok",52,"pop",78.8,46.1,"6apmeAAgvzvhBKio8WYThf","Hear Me Now","2016-01-01","Chillout & Remixes 💜","4NlAd9NpIa92IjErMyAriM","indie poptimism",43,11,-7.757,1,4.19,53.7,0.261,9.36,121.996,192846,-2.09594285714286
"6","74RrMiuSOzAHZEqLlC0BHz","Toda La Noche","Alok",45,"latin",73.5,61.6,"3GQZqxmeWL4dAJQKROGnbu","Toda La Noche","2018-05-25","Latin Pop Songs","5uOMV7g6vp8WxoqXfkzKaw","latin pop",81.9,0,-4.809,1,12.4,37.9,0,4.23,90.039,186667,13.4040571428571
"7","7sYAS4CpbV90oSemgaEQat","On & On","Alok",79,"edm",74.7,67,"2a9AGivapFES2j2ElI3odn","On & On","2019-11-22","Electro House Top Tracks","1G0q0NK7g3C0XerNqq7GbL","electro house",77.6,10,-5.898,0,7.22,2.33,0.00138,76.1,125.07,147027,18.8040571428571
"8","0Qp1IH1EkRCNabfgzxNMUT","The Wall","Alok",61,"edm",68.2,53.6,"4w68G9ohlk8eiePpr3Dd4a","The Wall","2019-06-28","EDM 2020 House & Dance","25ButZrVb1Zj1MJioMs09D","electro house",91,11,-2.314,1,4.31,0.953,6.73,7.32,122.943,159500,5.40405714285714
"9","36C0Gw2RmYWy5aEpMPaQ0e","Tell Me Why","Alok",61,"edm",56.1,19.5,"1R2C7EG1sDRGnKSxGmLU4o","Tell Me Why","2019-08-30","Club Mix 2020 🍹","7sq6nuruoMyDhEWkX2oYOg","electro house",90.9,11,-3.66,0,3.91,0.527,0.0205,35.1,123.03,161951,-28.6959428571429
"10","1UTXQrmAL4oladIwc1PWSh","Metaphor","Alok",61,"edm",56.7,26.7,"2ds371eeP7JXPUhBCk26eH","Metaphor","2019-02-01","PAROOKAVILLE - Big Room","6vbHQdtfmexb0ptmBSpemm","big room",95.1,8,-5.087,0,3.88,2.13,30.2,10.1,138.03,202000,-21.4959428571429
"11","0sfgF2kM3yrZbkLmAbjSo6","Vale Vale","Alok",56,"edm",47.5,30.5,"2llEFasK0tmnuR08L2zlYs","Vale Vale","2019-08-09","Big Room EDM - by Spinnin' Records","7xWdFCrU5Gka6qp1ODrSdK","big room",89.6,1,-5.696,0,7.65,0.0332,7.34,42.9,133.998,193433,-17.6959428571429
"12","6PqUdUGS4h5aGY7YyEGXr8","All The Lies","Alok",71,"edm",61.1,67.2,"4JFyas1xaX9NnAvRP9DhKF","All The Lies","2019-03-15","EDM 2019","1T0ed6Mg0QIruHvcoWWIKy","pop edm",83.5,6,-4.107,1,13.9,16.7,0,10.7,102.023,179457,19.0040571428571
"13","0Qp1IH1EkRCNabfgzxNMUT","The Wall","Alok",61,"edm",68.2,53.6,"4w68G9ohlk8eiePpr3Dd4a","The Wall","2019-06-28","EDM 2020 House & Dance","25ButZrVb1Zj1MJioMs09D","pop edm",91,11,-2.314,1,4.31,0.953,6.73,7.32,122.943,159500,5.40405714285714
"14","7sYAS4CpbV90oSemgaEQat","On & On","Alok",79,"edm",74.7,67,"2a9AGivapFES2j2ElI3odn","On & On","2019-11-22","Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas","5HmZtuuIDMtIy21kylqhx6","pop edm",77.6,10,-5.898,0,7.22,2.33,0.00138,76.1,125.07,147027,18.8040571428571
"15","2JVbZEpewmqNlSzmXJTx2E","Favela","Alok",69,"edm",77.7,28.3,"16QR0dsvnAghkCk31Q1Qd3","Favela","2018-08-17","Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas","5HmZtuuIDMtIy21kylqhx6","pop edm",81.2,2,-3.206,0,5.98,1.25,0.233,2.64,103.023,185105,-19.8959428571429
"16","7sYAS4CpbV90oSemgaEQat","On & On","Alok",79,"edm",74.7,67,"2a9AGivapFES2j2ElI3odn","On & On","2019-11-22","Epic Bass Drops | Best House Mixes","4IS7o1utOzhimFEFnj9gmu","progressive electro house",77.6,10,-5.898,0,7.22,2.33,0.00138,76.1,125.07,147027,18.8040571428571
"17","36C0Gw2RmYWy5aEpMPaQ0e","Tell Me Why","Alok",61,"edm",56.1,19.5,"1R2C7EG1sDRGnKSxGmLU4o","Tell Me Why","2019-08-30","Epic Bass Drops | Best House Mixes","4IS7o1utOzhimFEFnj9gmu","progressive electro house",90.9,11,-3.66,0,3.91,0.527,0.0205,35.1,123.03,161951,-28.6959428571429
"18","0Qp1IH1EkRCNabfgzxNMUT","The Wall","Alok",61,"edm",68.2,53.6,"4w68G9ohlk8eiePpr3Dd4a","The Wall","2019-06-28","Epic Bass Drops | Best House Mixes","4IS7o1utOzhimFEFnj9gmu","progressive electro house",91,11,-2.314,1,4.31,0.953,6.73,7.32,122.943,159500,5.40405714285714
"19","1UTXQrmAL4oladIwc1PWSh","Metaphor","Alok",61,"edm",56.7,26.7,"2ds371eeP7JXPUhBCk26eH","Metaphor","2019-02-01","Epic Bass Drops | Best House Mixes","4IS7o1utOzhimFEFnj9gmu","progressive electro house",95.1,8,-5.087,0,3.88,2.13,30.2,10.1,138.03,202000,-21.4959428571429
